127.0.0.1, 2018-04-10 15:40:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.185611
127.0.0.1, 2018-04-10 15:40:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2018-04-10 15:41:19, GET, /admin/default/git_pull/start, HTTP/1.1, 303, 0.018696
127.0.0.1, 2018-04-10 15:41:19, GET, /admin/default/site, HTTP/1.1, 200, 0.026886
127.0.0.1, 2018-04-10 15:41:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2018-04-10 15:43:18, GET, /start/default/index, HTTP/1.1, 200, 0.108588
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000787
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000547
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000405
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000396
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.000347
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2018-04-10 15:43:18, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000486
127.0.0.1, 2018-04-10 15:43:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2018-04-10 15:45:08, GET, /start/default/index, HTTP/1.1, 200, 0.020480
127.0.0.1, 2018-04-10 15:45:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000234
127.0.0.1, 2018-04-10 15:45:10, GET, /admin/default/site, HTTP/1.1, 200, 0.027329
127.0.0.1, 2018-04-10 15:45:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2018-04-10 15:45:23, GET, /start/default/index, HTTP/1.1, 200, 0.019418
