127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.219000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000

127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:12:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-17 14:23:20, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-17 14:23:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.349000
127.0.0.1, 2018-04-17 14:25:55, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-04-17 14:25:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.216000
127.0.0.1, 2018-04-17 14:26:35, GET, /admin/default/site, HTTP/1.1, 303, 0.153000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-17 14:26:36, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-17 14:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-17 14:26:41, POST, /admin/default/index, HTTP/1.1, 303, 0.071000
127.0.0.1, 2018-04-17 14:26:41, GET, /admin/default/site, HTTP/1.1, 200, 0.116000
127.0.0.1, 2018-04-17 14:26:41, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-17 14:26:41, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-17 14:26:41, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-17 14:26:41, POST, /admin/default/check_version, HTTP/1.1, 200, 0.279000
127.0.0.1, 2018-04-17 14:26:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-17 14:26:47, GET, /camphyr/default/index, HTTP/1.1, 200, 0.272000
